Trial-ID,Status,Iteration,H_l1,H_l2,activate,lr,Objective,training_error
1,INTERMEDIATE,0,284,106,nn.Hardswish,0.0017649231722667305,0.48912597107620015,0.5070765579212977
1,INTERMEDIATE,500,284,106,nn.Hardswish,0.0017649231722667305,0.9986697939328778,0.99853281986632
1,INTERMEDIATE,1000,284,106,nn.Hardswish,0.0017649231722667305,0.9988496127249993,0.9988101725233595
1,INTERMEDIATE,1500,284,106,nn.Hardswish,0.0017649231722667305,0.9988818821258002,0.9988688135654252
1,INTERMEDIATE,2000,284,106,nn.Hardswish,0.0017649231722667305,0.9988898553412267,0.9988791235583723
1,INTERMEDIATE,2500,284,106,nn.Hardswish,0.0017649231722667305,0.99843115590222,0.9984152295637008
1,INTERMEDIATE,3000,284,106,nn.Hardswish,0.0017649231722667305,0.9989590064524594,0.998946911594131
1,INTERMEDIATE,3500,284,106,nn.Hardswish,0.0017649231722667305,0.9989747045694258,0.9989670864555076
1,INTERMEDIATE,4000,284,106,nn.Hardswish,0.0017649231722667305,0.99898104312412,0.9989749141893028
1,INTERMEDIATE,4500,284,106,nn.Hardswish,0.0017649231722667305,0.9989764052169278,0.9989730244292209
1,INTERMEDIATE,5000,284,106,nn.Hardswish,0.0017649231722667305,0.9989907436549756,0.9989911363995183
1,INTERMEDIATE,5500,284,106,nn.Hardswish,0.0017649231722667305,0.9989966157745841,0.9989990810986132
1,INTERMEDIATE,6000,284,106,nn.Hardswish,0.0017649231722667305,0.9989493547383922,0.9989555898233872
1,INTERMEDIATE,6500,284,106,nn.Hardswish,0.0017649231722667305,0.9989814078228784,0.9989926292144689
1,INTERMEDIATE,7000,284,106,nn.Hardswish,0.0017649231722667305,0.9990076831983001,0.9990206716486321
1,INTERMEDIATE,7500,284,106,nn.Hardswish,0.0017649231722667305,0.9987417599285335,0.9987662413047498
1,INTERMEDIATE,8000,284,106,nn.Hardswish,0.0017649231722667305,0.9990260629987899,0.9990365333053267
1,INTERMEDIATE,8500,284,106,nn.Hardswish,0.0017649231722667305,0.9989795598226574,0.9990033253684293
1,INTERMEDIATE,9000,284,106,nn.Hardswish,0.0017649231722667305,0.9990244731312422,0.9990431757425552
1,INTERMEDIATE,9500,284,106,nn.Hardswish,0.0017649231722667305,0.9990195198530736,0.9990433273364536
1,INTERMEDIATE,1,284,106,nn.Hardswish,0.0017649231722667305,0.9989626642504557,0.9990598853604713
1,COMPLETED,9500,284,106,nn.Hardswish,0.0017649231722667305,0.9990260629987899,0.9990365333053267
2,INTERMEDIATE,0,149,28,nn.PReLU,1.7018809122715364e-05,0.04948949132075042,0.04933137934885967
2,INTERMEDIATE,500,149,28,nn.PReLU,1.7018809122715364e-05,0.7228723483185688,0.7375889904743554
2,INTERMEDIATE,1000,149,28,nn.PReLU,1.7018809122715364e-05,0.8448463051514327,0.8540925592644788
2,INTERMEDIATE,1500,149,28,nn.PReLU,1.7018809122715364e-05,0.893594008913249,0.9027542689703468
2,INTERMEDIATE,2000,149,28,nn.PReLU,1.7018809122715364e-05,0.9256867874817942,0.9331549213802903
2,INTERMEDIATE,2500,149,28,nn.PReLU,1.7018809122715364e-05,0.943270245193571,0.948828605539517
2,INTERMEDIATE,3000,149,28,nn.PReLU,1.7018809122715364e-05,0.9538540826944882,0.9580501284093218
2,INTERMEDIATE,3500,149,28,nn.PReLU,1.7018809122715364e-05,0.9612301916513847,0.9645457883407038
2,INTERMEDIATE,4000,149,28,nn.PReLU,1.7018809122715364e-05,0.967033252815765,0.9697589594483125
2,INTERMEDIATE,4500,149,28,nn.PReLU,1.7018809122715364e-05,0.971894112785652,0.974205881292303
2,INTERMEDIATE,5000,149,28,nn.PReLU,1.7018809122715364e-05,0.976185403943906,0.9781413169268929
2,INTERMEDIATE,5500,149,28,nn.PReLU,1.7018809122715364e-05,0.9800742499060077,0.9816799137096971
2,INTERMEDIATE,6000,149,28,nn.PReLU,1.7018809122715364e-05,0.9834074122481752,0.9846413933553141
2,INTERMEDIATE,6500,149,28,nn.PReLU,1.7018809122715364e-05,0.9861975190580446,0.9871033317493242
2,INTERMEDIATE,7000,149,28,nn.PReLU,1.7018809122715364e-05,0.9885792405722197,0.9892527098301959
2,INTERMEDIATE,7500,149,28,nn.PReLU,1.7018809122715364e-05,0.9906309202108236,0.991133554715693
